災害	disaster	さいがい
大地	land	だいち
広大な	vast	こうだいな
砂漠	desert	さばくな
谷	valley	たに
滝	waterfall	たき
岸	shore	きし
海辺	seashore	うみべ
透明な	transparent	とうめいな
底	bottom	そこ
生き物	creature	いきもの
生物	organism	せいぶつ
植物	plant	しょくぶつ
芽	bud	め
人間	human	にんげん
天然	natural	てんねん
日光	sunlight	にっこう
昇る	to rise	のぼる
日陰	shadow	ひかげ
夕焼け	sunset	ゆうやけ
飛び回る	to fly around	とびまわる
鳴く	to cry	なく
しんとする	quietly	
休息	rest	きゅうそく
ごろごろ	idly	
ダラダラと	to be idle	
のびのびする	to feel relaxed	
くつろぐ	to relax	
こもる	to be confined in, to be filled with	
ぐうぐう	snoring sound	
どっと	rush out	
切り替える	to switch	きりかえる
あれこれ	this and that	
芝生	lawn	しばふ
転がる	to roll	ころがる
うなる	to growl/to groan	
ボート	boat
こぐ	to row	
展覧会	exhibition	てんらんかい
ばったり	to run into/to fall flat	
ハラハラ	nervously	
お墓	grave	おはか
突っ込む	to stuff	つっこむ
見渡す	to glance	みわたす
眺める	to gaze	ながめる
眺め	view	ながめ
かすかな	faintly	
おぶう	to carry on one's back	
最適な	best	さいてきな
余裕	room/capacity	よゆう
旅	travel	たび
レジャー	leisure activities	
訪れる	to visit/to arrive	おとずれる
体験	experience	たいけん
冒険	adventure	ぼうけん
見聞きする	to see and hear	みききする
巡る	to go around	めぐる
思う立つ	to come up with	おもうだつ
豪華な	luxurious	ごうかな
手配	arrangement/search	てはい
前もって	beforehand	まえもって
便	flight	びん
空席	vacancy	くうせき
超過	excess	ちょうか
思いがけず	unexpectedly	おもいがけず
引き返す	to return	ひきかえす
間もなく	soon	まもなく
宿泊	stay (in hotel)	しゅくはく
大幅な	major	おおはばな
旅先	travel destination	たびさき
各地	each place	かくち
離陸する	to take off	りりくする
名所	sites	めいしょ
市場	market	いちば
免税店	duty free shop	めんぜいてん
風景	scenery	ふうけい
海水浴	sea swimming	かいすいよく
もぐる	to dive	
跡	track, trace	あと
位置	location, position	いち
めいめい	each individual	
しばしば	often	
出来事	occurence	できごと
測定	measurement	そくてい
